method,path,tags,summary,operationId,description
POST,/api/v1/auth/login,01. 基础安全机制,根据注册的APPID获取访问令牌（Token）,login,Access Token 会在指定时间(一般30分钟)内过期，需要及时更新，或者重新获取
POST,/api/v1/auth/refresh,01. 基础安全机制,在访问令牌（Token）过期之前，使用临时ticket更新令牌，可避免secret泄漏,refresh,
GET,/api/v1/foundation/channel,02. 基础运营数据,获取授权机构下的客户渠道信息,findReferrerPaged,
POST,/api/v1/foundation/channel,02. 基础运营数据,在指定层级下创建渠道新节点,createChannel,
PUT,/api/v1/foundation/channel/partial/{type}/{id},02. 基础运营数据,部分修改指定渠道节点,partialModifyChannel,
DELETE,/api/v1/foundation/channel/{type}/{id},02. 基础运营数据,删除指定层级的指定渠道节点,deleteChannel,
PUT,/api/v1/foundation/channel/{type}/{id}/active,02. 基础运营数据,改变指定渠道节点(不包含分类)启用状态,activeChannel,
GET,/api/v1/foundation/clinic,02. 基础运营数据,获取授权机构下的诊所信息,findClinicAll,
GET,/api/v1/foundation/clinic/{id},02. 基础运营数据,根据ID获取诊所信息,loadClinic,
GET,/api/v1/foundation/clinic/{id}/room,02. 基础运营数据,查找指定诊所的治疗房间、手术房间,findClinicRoom,
GET,/api/v1/foundation/code/{system},02. 基础运营数据,获取授权机构下的指定字典数据,findCodedValuesAll,
POST,/api/v1/foundation/department,02. 基础运营数据,在授权机构下新增组织节点 - 部门,createClinic,
GET,/api/v1/foundation/download/{fileId},02. 基础运营数据,下载文件接口,download,
GET,/api/v1/foundation/employee,02. 基础运营数据,获取授权机构下的员工信息,findEmployeePaged,
POST,/api/v1/foundation/employee,02. 基础运营数据,在授权机构下创建员工,createEmployee,
GET,/api/v1/foundation/employee/{id},02. 基础运营数据,获取授权机构下的指定员工信息,findEmployee,
PUT,/api/v1/foundation/employee/{id},02. 基础运营数据,修改员工信息,modifyEmployee,
GET,/api/v1/foundation/employee/{id}/roles,02. 基础运营数据,获取授权机构下的指定员工功能权限,findEmployeeRolePermissions,
PUT,/api/v1/foundation/employeeBase/{id},02. 基础运营数据,修改员工基础信息,modifyEmployeeBase,
GET,/api/v1/foundation/job,02. 基础运营数据,获取授权机构下的员工职位角色信息,findJobAll,
GET,/api/v1/foundation/logo,02. 基础运营数据,获取授权机构的logo(Base64格式，空代表未设置),findLogo,
GET,/api/v1/foundation/medical-department,02. 基础运营数据,获取授权机构下医疗科室信息,listMedicalDepartment,
GET,/api/v1/foundation/organization,02. 基础运营数据,获取授权机构下的组织架构，包括公司、区域、诊所、部门,findOrganizationAll,
GET,/api/v1/foundation/role,02. 基础运营数据,获取授权机构下的员工功能角色信息,findRoleAll,
GET,/api/v1/foundation/role/{id},02. 基础运营数据,获取授权机构下指定功能角色信息,findRole,
POST,/api/v1/foundation/tagDict/create,02. 基础运营数据,创建标签,tagDictCreate,
POST,/api/v1/foundation/tagDict/group/create,02. 基础运营数据,创建标签组,tagDictGroupCreate,
POST,/api/v1/foundation/tagDict/group/update,02. 基础运营数据,修改标签组,tagDictGroupUpdate,
POST,/api/v1/foundation/tagDict/update,02. 基础运营数据,修改标签,tagDictUpdate,
GET,/api/v1/foundation/tagSets,02. 基础运营数据,获取标签信息,findTagSets,
POST,/api/v1/catalog/category,03. 产品类目数据,指定类型下创建分类新节点 - 各类型通用,createCategory,
